,att1,att2,att3,att4,att5,att6,class
780,2,2,2,445,95,961,5
572,1,3,1,1520,544,108,6
254,2,1,1,493,1437,211,0
642,1,3,1,1442,288,1555,1
1579,1,4,2,398,1855,1173,3
1794,1,4,6,645,423,1366,4
1494,2,2,2,219,437,1254,5
1528,1,3,1,207,1577,1272,1
1993,1,3,1,1157,1168,182,3
217,1,3,1,789,743,731,6
11,2,2,2,53,1606,1496,5
1248,1,3,1,241,527,1439,1
148,1,3,1,378,1753,653,8
1084,1,4,2,760,1684,1828,2
1476,1,4,2,742,1474,113,2
534,1,4,2,750,382,183,2
528,3,1,3,1339,1742,521,9
1404,1,5,3,1204,1788,1183,8
103,1,4,2,243,53,1620,2
828,2,2,2,1672,1811,1209,7
1087,1,3,1,1576,1057,1210,3
273,1,3,1,1363,352,930,4
1021,2,2,2,1022,1808,1233,5
1291,2,2,2,998,549,1176,7
1805,2,2,2,495,1326,1123,5
22,2,1,1,1325,342,351,0
1511,2,2,2,906,1576,905,7
1621,2,2,2,620,1046,1171,7
1301,1,4,2,737,579,10,2
1284,2,1,1,551,491,386,0
1381,1,4,2,247,1456,1574,2
0,1,4,2,88,814,1398,3
1428,2,1,1,522,1018,239,0
468,1,3,1,280,1186,1603,1
313,1,4,2,420,10,1530,3
1710,1,4,2,419,1286,1550,3
125,1,3,1,646,1417,1455,1
1864,1,3,1,1224,725,937,6
1285,2,2,2,869,24,806,5
1276,1,3,1,255,1748,1579,1
1704,1,4,2,323,504,43,8
1455,1,4,2,1005,1591,1402,4
435,1,4,2,782,1559,749,3
793,2,2,2,673,1564,997,5
1339,1,3,1,1600,589,621,6
182,1,3,1,665,82,1502,1
1897,1,4,2,1313,275,1717,4
1184,3,1,3,1298,969,516,9
529,2,2,2,1069,1292,1299,5
720,1,3,1,464,33,1071,4
1025,3,1,3,878,831,418,9
1194,1,4,2,1700,1645,1115,4
538,1,3,1,717,1642,1751,1
525,2,1,1,1669,520,402,0
583,1,3,1,211,1373,1058,4
953,1,4,2,695,647,17,2
222,2,2,2,181,1764,1013,7
267,2,2,2,184,321,1105,5
719,1,4,2,617,1410,1188,4
1620,1,4,2,1657,605,238,8
639,2,2,2,279,744,1020,7
471,1,3,1,1608,11,167,6
1626,2,2,2,1355,1439,863,5
1171,2,1,1,577,17,416,0
252,1,3,1,94,8,1268,6
1145,2,2,2,1389,475,1224,5
893,2,2,2,961,1810,813,5
740,1,4,2,1553,1396,202,5
50,1,4,2,86,319,1443,3
1971,2,2,2,1248,1237,927,5
1222,2,2,2,1353,1334,1052,7
1113,2,2,2,993,310,1158,5
239,2,2,2,183,1267,1144,5
1931,1,4,2,1653,128,1610,3
860,1,4,2,282,1692,136,2
1591,3,1,3,1319,1347,735,9
20,2,1,1,1285,1340,242,0
523,3,1,3,978,708,470,9
976,1,3,1,1023,1399,1544,2
1552,1,3,1,1050,1851,1478,1
888,1,3,1,314,1179,76,8
296,1,3,1,1532,1143,197,3
1146,3,1,3,1300,918,562,9
1008,1,4,2,1241,1538,1511,3
552,1,5,3,783,1478,385,8
600,1,3,1,1656,244,500,4
1669,2,2,2,982,1745,1121,5
684,1,4,2,741,1178,80,3
1747,2,2,2,1222,239,945,7
1418,3,1,3,1660,1506,619,9
1782,1,4,2,1130,337,109,2
1150,2,2,2,694,1440,1516,7
724,2,2,2,860,1374,1007,5
1615,1,4,2,1604,1120,835,8
280,2,2,2,1271,653,1045,7
1831,1,3,1,1555,123,184,6
935,1,4,2,683,1161,1842,2
606,3,1,3,122,771,625,9
1820,3,1,3,861,1827,433,9
1466,2,2,2,180,799,1101,7
1409,2,2,2,1045,864,1340,7
1477,1,4,2,1011,295,1225,4
5,1,3,1,71,2,177,6
876,1,3,1,1661,1325,846,4
1221,2,2,2,26,955,1095,7
1109,3,1,3,1682,885,310,9
687,2,2,2,1330,1766,656,7
1917,1,3,1,921,855,1852,1
866,1,3,1,1229,264,1202,6
1670,1,4,2,754,1526,98,2
1559,1,4,2,208,370,1068,4
1375,2,2,2,897,1864,960,5
526,2,3,3,473,1608,770,4
1812,1,3,1,631,865,1350,1
405,1,4,2,1564,1394,776,3
1947,1,4,2,1169,303,634,8
654,1,3,1,368,663,189,6
427,1,4,2,836,606,1655,3
634,2,2,2,258,129,1408,5
200,1,4,2,1123,195,1864,1
1765,1,4,2,1217,1044,1194,3
1667,1,3,1,1193,29,811,6
1154,2,1,1,139,1751,420,0
1415,1,3,1,1459,19,1589,1
1865,2,2,2,1642,1432,988,5
927,1,3,1,1208,39,1172,3
1250,1,4,2,1588,294,1351,3
1783,1,3,1,409,386,803,6
1202,2,2,2,179,1628,964,7
770,1,3,1,24,1853,663,4
1116,1,4,2,307,768,71,8
1183,2,1,1,1349,1597,223,0
894,1,3,1,1212,293,1060,6
1203,1,3,1,232,1590,1701,2
1520,2,2,2,673,1564,997,7
1889,1,4,2,1563,824,753,8
1200,1,5,3,337,1609,105,8
663,1,4,2,1177,276,577,8
688,3,1,3,981,1500,681,9
1894,3,1,3,892,436,465,9
1801,3,1,3,872,1155,591,9
1825,2,2,2,1457,530,1461,5
1888,2,1,1,507,1611,332,0
646,2,2,2,1012,482,1235,7
1759,1,3,1,1015,1154,877,4
1077,1,4,2,1504,595,111,8
1267,2,2,2,1356,461,963,5
1367,1,3,1,1708,728,1032,4
1061,1,4,2,966,1400,981,4
1170,2,1,1,946,1584,316,0
26,2,1,1,1328,819,236,0
1767,1,3,1,1544,256,640,6
1208,2,1,1,1441,689,290,0
941,1,4,2,62,1369,46,1
1544,1,4,2,786,441,1010,7
1041,1,3,1,1699,120,891,4
713,2,1,1,541,1874,379,0
1129,2,2,2,870,851,982,5
1238,1,3,1,416,172,1092,3
1576,2,2,2,441,943,828,7
1764,2,2,2,1386,1153,1156,7
745,2,2,2,1429,453,1405,5
1643,2,2,2,210,229,1282,5
1590,1,3,1,249,1012,1452,1
1809,1,4,2,1243,987,1434,3
1596,2,3,3,1463,716,1484,5
1125,2,2,2,1483,582,1564,7
701,1,3,1,1525,665,55,6
1517,1,3,1,244,1610,1427,1
578,1,3,1,1039,1056,1373,1
130,1,4,2,29,1741,1240,4
933,3,1,3,13,1651,390,9
310,1,3,1,138,1121,684,4
1914,1,4,2,329,997,28,8
322,2,1,1,943,1678,258,0
987,2,2,2,945,571,916,7
1859,1,3,1,1223,1513,1096,6
500,1,4,2,278,1765,1745,2
438,1,4,2,1635,1106,1663,3
171,1,5,3,104,1207,1816,8
716,2,2,2,659,1625,1298,7
412,3,1,3,980,892,569,9
1976,1,3,1,625,1552,1319,1
1329,1,3,1,1520,1679,37,6
983,3,1,3,154,201,365,9
919,1,4,2,755,131,233,8
1394,2,2,2,326,1675,1594,5
1899,1,3,1,713,949,1490,1
1810,1,3,1,650,1317,1393,1
1351,1,4,2,805,1672,468,6
825,1,5,3,338,1665,11,8
1228,1,5,3,1598,802,1243,8
1055,1,4,2,856,1236,1758,3
463,1,3,1,1501,790,1848,1
971,2,2,2,691,260,1551,5
1447,1,3,1,890,1484,746,4
598,2,2,2,150,1282,883,5
420,2,2,2,28,914,944,7
1653,1,3,1,765,539,130,6
493,2,2,2,636,1080,1242,5
982,1,3,1,228,752,1599,2
1654,1,3,1,787,1413,789,6
188,1,3,1,370,1276,647,6
1706,1,3,1,624,944,1556,2
127,1,4,2,1583,192,738,8
1915,2,2,2,761,760,983,5
1600,1,3,1,774,936,148,6
954,1,4,2,438,217,971,4
38,2,2,2,636,1080,1242,7
1072,2,1,1,489,1263,269,0
561,1,4,2,757,1695,573,2
1962,1,3,1,1709,1087,1003,7
114,1,4,2,710,1661,1702,2
739,1,3,1,116,1118,1727,0
854,1,3,1,483,173,722,4
673,2,1,1,14,1071,207,0
46,1,4,2,57,1447,50,2
672,1,4,2,1082,349,1706,8
895,2,2,2,1019,1518,1279,7
1433,1,3,1,1415,291,1385,1
1717,2,2,2,866,37,948,5
332,1,3,1,658,1268,1497,1
1963,1,3,1,686,704,1676,1
272,1,3,1,231,563,1409,1
1930,1,3,1,1207,1032,792,6
1338,2,2,2,1394,938,1258,7
1181,1,3,1,427,1145,1287,3
348,1,4,2,1053,1789,1611,2
1737,1,4,2,723,209,403,2
748,1,3,1,1559,206,219,6
1611,1,4,2,1163,841,613,8
1166,1,3,1,915,1669,1008,4
1042,2,2,2,622,331,1327,7
111,1,3,1,986,1701,900,4
1271,3,1,3,19,1093,668,9
768,2,2,2,1424,869,1290,5
305,1,3,1,791,1049,161,6
1863,1,3,1,1031,1694,1362,4
1892,2,2,2,1253,312,1220,7
1283,1,4,2,1067,1213,1746,2
1992,2,1,1,1322,1217,204,0
1932,1,3,1,604,181,1245,4
1069,1,3,1,1124,1655,116,3
1711,1,4,2,1377,1640,842,4
585,2,2,2,968,299,1048,7
1909,1,4,2,1428,634,1601,2
542,1,3,1,120,343,716,4
159,1,3,1,1128,1,1862,3
903,3,1,3,5,1453,682,9
1187,2,2,2,817,1524,1099,7
1749,2,1,1,922,1137,525,0
781,2,1,1,1326,383,200,0
1874,2,2,2,1307,80,752,7
1334,1,4,2,1088,1885,1856,2
1368,3,1,3,503,1802,481,9
1224,1,5,3,1118,1075,31,2
1155,1,3,1,1233,220,1311,6
1839,1,4,2,685,106,1770,8
263,1,5,3,43,360,1825,2
340,3,1,3,864,435,499,9
1840,2,2,2,877,1876,785,7
270,3,1,3,538,1460,537,9
197,1,3,1,275,1385,1780,2
1086,1,3,1,1435,112,1586,1
1173,3,1,3,1687,1233,645,9
1741,1,4,2,1562,809,173,6
1778,1,3,1,1168,1309,36,1
118,2,2,2,70,1147,1682,7
1862,1,4,2,1140,89,92,2
1756,3,1,3,517,1262,442,9
1157,1,3,1,1571,374,227,6
1198,1,4,2,1596,1045,432,8
1169,1,3,1,284,860,1703,2
1131,2,1,1,449,73,271,0
52,1,4,2,55,1350,1705,8
714,2,2,2,18,1184,958,5
358,2,2,2,1676,155,1149,5
1118,1,3,1,1450,600,1668,2
1076,1,5,3,380,412,693,8
359,1,6,2,2,1359,1042,2
1924,1,7,3,4,476,1336,2
1011,1,3,1,357,56,93,8
324,2,2,2,599,247,1168,5
509,2,2,2,991,853,1163,5
27,2,1,1,529,366,410,0
910,2,2,2,1467,873,1489,5
955,2,2,2,1393,76,1204,7
1195,2,2,2,227,1338,1267,7
300,1,4,2,772,393,590,8
1243,2,2,2,1001,1000,1169,5
191,1,4,2,666,46,1844,2
460,2,2,2,1000,381,1134,5
1986,2,1,1,1316,502,208,0
221,2,2,2,588,891,1017,7
785,1,5,3,879,1858,1612,8
635,2,2,2,165,627,1119,5
1153,1,3,1,847,1101,1360,0
483,1,3,1,1326,1477,873,4
997,1,4,2,1518,251,126,8
1585,2,1,1,925,1422,327,0
852,2,2,2,1359,734,1203,5
1256,1,4,2,1502,1758,122,3
911,1,3,1,1523,1536,1777,8
1880,2,2,2,535,1649,899,7
1452,2,2,2,242,1455,1358,5
1161,1,3,1,429,1408,1053,6
1606,1,3,1,1215,536,1000,6
541,1,3,1,1447,1077,1540,1
376,1,3,1,762,1632,100,6
1073,1,3,1,1208,1860,662,6
136,2,2,2,169,515,1054,7
670,1,4,2,671,286,29,8
1586,1,3,1,386,897,796,3
1766,2,2,2,1668,1603,1085,5
259,1,5,3,1109,1281,1715,2
1933,2,2,2,1711,167,968,7
1609,2,1,1,135,984,281,0
1362,2,2,2,1004,753,1016,7
253,1,3,1,1369,1069,832,4
1895,3,1,3,494,846,594,9
1787,2,1,1,489,1881,225,0
843,1,3,1,814,1721,714,6
1898,1,3,1,399,1079,763,6
1510,1,5,3,781,1415,172,8
206,2,2,2,948,287,837,7
44,1,3,1,1350,787,715,4
186,1,4,2,274,1630,79,2
1641,1,3,1,1636,816,1629,3
1107,2,1,1,1652,115,289,0
1225,1,4,2,818,1009,1142,3
916,1,3,1,1458,973,1636,1
1296,1,4,2,1111,694,13,8
601,1,3,1,678,526,1678,1
266,2,2,2,593,1834,1137,5
753,1,3,1,1534,823,599,6
475,1,4,2,1072,1464,1524,4
863,1,4,2,1665,884,1223,4
249,2,2,2,730,782,1670,5
1106,1,3,1,940,1512,1553,4
1451,1,3,1,702,297,1805,1
1309,1,4,2,112,615,86,3
373,2,2,2,1407,327,1259,7
1402,3,1,3,454,1530,768,9
1885,1,3,1,1597,1699,550,6
1273,2,2,2,180,799,1101,5
230,1,3,1,656,1319,1569,2
961,2,1,1,583,548,343,0
1389,1,3,1,256,825,1420,1
317,1,4,2,1272,1402,886,4
56,1,3,1,82,905,876,3
636,1,3,1,780,964,117,3
1377,1,3,1,733,1089,1809,6
343,1,4,2,203,233,1191,4
873,1,3,1,1614,1226,1475,3
858,2,1,1,886,361,220,0
1666,1,4,2,1468,14,5,8
1304,2,1,1,1324,79,203,0
1261,1,4,2,1554,1065,908,8
1547,1,3,1,768,1225,329,3
14,2,2,2,1400,1265,1234,5
1082,1,4,2,294,1667,145,2
659,1,3,1,327,797,95,8
1995,1,4,2,1704,401,638,3
1230,2,2,2,609,1673,962,7
1748,2,2,2,1457,1604,1435,5
170,2,2,2,1367,153,1031,7
1442,2,2,2,1306,1785,947,5
1762,3,1,3,335,746,494,9
1852,1,3,1,504,16,973,2
1949,3,1,3,889,1132,511,9
560,2,1,1,175,1636,563,0
189,1,4,2,575,1259,1150,4
75,2,1,1,472,810,284,0
574,2,2,2,450,754,833,7
1568,2,1,1,129,1557,250,0
487,1,3,1,371,90,191,6
567,1,3,1,1542,66,187,6
1490,1,3,1,1166,1131,1127,3
1354,2,2,2,869,24,806,7
519,1,3,1,374,976,866,6
1053,1,4,2,1633,1209,1651,3
1172,2,2,2,456,1482,1100,5
1738,1,5,3,1475,281,1619,8
278,1,4,2,103,1637,1625,3
326,2,2,2,197,661,1244,5
1470,3,1,3,1364,1662,629,9
554,1,3,1,1397,124,1303,1
989,1,4,2,1454,1644,1773,2
195,1,3,1,1586,1710,966,6
24,3,1,3,172,732,485,9
1235,2,2,2,291,1367,1549,5
1637,3,1,3,1416,702,395,9
1132,1,4,2,745,1255,1860,8
41,1,3,1,230,712,1403,1
1571,2,2,2,1368,268,889,5
1349,1,4,2,641,1247,1587,1
1690,1,3,1,360,1698,41,8
290,1,4,2,97,454,1580,3
1679,1,4,2,1252,672,35,3
1039,2,2,2,1033,947,1326,7
244,2,2,2,1352,1328,586,9
151,1,4,2,974,1718,1120,4
1777,2,2,2,1301,420,1090,7
98,3,1,3,946,1581,453,9
1485,2,2,2,572,840,985,5
1969,2,1,1,888,904,440,0
742,2,1,1,1680,967,272,0
1441,1,4,2,193,362,1116,4
1508,1,3,1,681,1303,1520,1
57,1,3,1,578,766,764,4
1682,1,4,2,243,467,1485,1
1344,1,3,1,661,35,1592,8
274,1,3,1,726,1288,1836,1
1929,1,3,1,1539,1475,742,3
1957,1,3,1,509,1574,1783,1
387,1,4,2,1172,1602,765,8
792,2,1,1,543,41,273,0
1542,1,4,2,437,249,1322,3
762,1,4,2,825,684,1450,3
928,2,2,2,497,834,1049,5
1965,1,3,1,1115,122,1744,1
934,2,2,2,873,369,1026,5
1067,1,4,2,251,996,1730,2
723,3,1,3,546,1720,438,9
702,2,1,1,1717,956,243,0
655,2,2,2,148,1529,1011,5
123,1,3,1,369,523,762,6
1655,1,4,2,1256,518,162,6
1605,1,4,2,1431,1115,1677,2
1411,1,3,1,469,957,839,4
1472,1,4,2,1710,1090,855,4
1439,2,4,4,1413,1001,1367,2
962,1,4,2,1575,1797,733,8
160,2,2,2,691,260,1551,7
549,2,1,1,1266,738,502,0
772,1,4,2,608,59,1177,4
320,1,3,1,537,47,1069,4
1313,1,5,2,345,1341,179,8
10,1,4,2,250,1733,1789,2
1803,1,4,2,463,1287,1578,2
1800,3,1,3,1310,492,584,9
1869,1,4,2,407,1843,1295,3
882,1,4,2,696,377,1563,1
1138,2,2,2,688,1472,1451,5
925,1,5,3,1558,1352,142,8
1075,1,3,1,544,1357,720,4
787,3,1,3,187,113,612,9
817,3,1,3,947,1271,444,9
1890,1,3,1,446,1744,1575,2
80,1,4,2,700,1382,1,2
1725,1,3,1,1114,1123,1833,8
121,1,3,1,581,1737,1133,4
693,1,5,3,1590,1824,917,8
1223,2,2,2,604,1729,1178,7
543,1,4,2,271,1715,1795,2
1713,1,4,2,1170,298,1772,2
1037,2,2,2,573,23,972,5
374,2,2,2,968,299,1048,5
1781,2,1,1,932,1279,1870,0
995,1,3,1,1657,1807,460,8
1826,1,3,1,1131,340,1565,1
1369,1,3,1,490,1230,630,4
1873,1,3,1,895,40,498,6
1386,1,4,2,1210,465,1093,3
1569,1,3,1,518,222,878,3
392,2,2,2,163,1778,1114,7
1488,2,2,2,672,1030,1518,5
255,2,2,2,133,463,710,7
1074,2,2,2,1379,917,1055,7
311,1,3,1,1007,722,1320,4
28,2,2,2,945,571,916,5
1853,1,3,1,1567,934,434,6
1005,1,3,1,1020,1514,904,4
1210,3,1,3,1705,999,615,9
1093,1,5,3,372,187,192,8
202,1,3,1,647,444,1415,1
1027,2,2,2,495,1326,1123,7
173,1,4,2,400,9,871,3
923,2,2,2,1457,1604,1435,7
689,1,4,2,173,1189,993,4
486,1,3,1,1612,145,1262,6
1189,1,3,1,1108,643,1656,1
1877,2,1,1,1688,988,209,0
625,2,2,2,961,1810,813,7
1943,1,4,2,435,505,1426,8
1289,2,2,2,840,498,879,5
1996,3,1,3,441,1516,539,9
707,1,5,3,1120,213,115,2
1321,1,3,1,37,202,1519,8
1732,1,4,2,640,139,1505,1
1603,1,4,2,912,284,1667,2
1233,2,1,1,566,1420,353,0
82,2,2,2,563,357,977,7
667,2,1,1,21,1395,504,0
1474,1,4,2,366,156,510,3
830,1,3,1,1619,1817,996,6
1856,1,4,2,226,1796,1605,2
349,1,3,1,361,733,501,8
730,2,2,2,140,818,687,7
233,2,2,2,554,356,1062,5
1816,1,3,1,1430,703,1471,1
938,1,5,3,1503,1150,409,8
84,2,2,2,862,1025,921,5
1396,2,2,2,865,302,1185,7
1920,2,1,1,384,721,19,0
871,1,3,1,1486,1412,1722,1
1815,3,1,3,152,36,480,9
1300,1,3,1,33,246,1512,1
1234,1,5,3,328,1867,63,8
1879,2,2,2,118,926,1301,5
1040,1,4,2,591,417,1207,4
1137,3,1,3,498,1703,304,9
1608,2,2,2,510,742,867,5
131,2,2,2,1344,1194,869,5
614,2,1,1,1713,1283,441,0
711,1,3,1,834,575,1043,6
1629,1,3,1,1543,626,1529,1
1900,2,2,2,310,1108,1694,5
1422,1,4,2,402,415,1113,8
875,3,1,3,969,1363,544,9
1128,1,4,2,1142,230,277,2
912,1,3,1,401,236,1444,3
15,1,4,2,69,1358,59,6
1443,1,3,1,1634,903,939,6
1324,1,4,2,752,144,61,6
1370,3,1,3,127,710,479,9
1413,1,4,2,265,1728,1851,2
1112,1,4,2,1052,658,1822,2
870,3,1,3,1658,1130,538,9
1353,3,1,3,953,1229,374,9
1110,1,3,1,835,1196,1201,3
761,2,2,2,565,1192,583,9
535,2,2,2,41,1801,1369,5
1701,1,3,1,1235,149,925,6
140,2,2,2,982,375,1088,7
1401,2,2,2,1384,1405,1063,5
984,2,1,1,938,1462,287,0
1277,1,4,2,1051,775,1872,2
1427,2,1,1,1283,1397,263,0
783,1,3,1,806,783,870,6
1630,1,3,1,1265,466,784,4
275,1,4,2,606,779,1329,4
497,2,2,2,41,1801,1369,7
1026,1,3,1,1201,1639,709,6
1688,3,1,3,516,1805,392,9
892,1,4,2,1472,1169,1767,1
1002,3,1,3,145,218,477,9
512,1,4,2,325,882,1819,8
607,1,4,2,1577,1349,727,6
759,1,3,1,306,376,1638,6
1371,1,3,1,1639,1683,1585,3
1332,2,2,2,850,764,1091,5
886,2,2,2,604,1729,1178,5
1829,1,3,1,1276,948,795,4
779,1,3,1,263,1270,1688,2
674,2,2,2,188,1183,1089,5
1987,1,3,1,17,425,786,4
470,1,4,2,430,1368,1468,8
1694,2,1,1,544,280,231,0
1746,1,3,1,377,1086,254,6
1991,1,4,2,1305,1152,953,4
385,1,4,2,650,1099,1714,2
703,1,4,2,1547,358,180,8
1355,1,4,2,1184,1790,589,8
1981,1,3,1,1550,1185,606,6
1384,1,3,1,1376,1010,1129,8
798,1,3,1,1589,612,780,6
1593,1,3,1,1515,1781,1802,1
628,1,3,1,1085,1623,1669,2
539,2,2,2,1069,1292,1299,7
1431,2,1,1,514,1466,461,0
1722,3,1,3,491,1425,580,9
1861,2,2,2,1349,739,1111,5
621,1,3,1,746,1360,143,6
1776,1,3,1,1294,1355,926,4
618,1,3,1,177,1320,895,4
590,1,3,1,1119,1050,47,2
58,1,4,2,68,719,178,8
778,1,3,1,1357,489,661,4
546,2,2,2,944,1635,881,5
1844,1,4,2,367,569,120,8
1659,2,2,2,486,727,743,5
1318,1,4,2,721,38,88,2
595,1,3,1,900,1351,771,4
862,1,4,2,680,1022,48,2
303,2,2,2,1361,1173,957,7
1636,1,3,1,798,1784,935,6
383,1,3,1,1516,493,134,3
1624,3,1,3,880,1015,378,9
1000,1,4,2,707,1381,21,2
1043,1,4,2,972,1589,976,4
1799,2,3,3,1040,1688,1293,5
1461,1,3,1,639,1840,1537,2
1231,2,1,1,548,916,305,0
1990,1,3,1,1423,731,1381,1
508,2,2,2,478,296,1219,5
462,1,3,1,268,849,1557,8
1373,3,1,3,471,446,291,9
1677,1,4,2,1249,623,1749,3
917,2,2,2,1255,755,1056,7
109,1,4,2,611,1250,1344,4
1851,2,1,1,1254,346,264,0
602,2,2,2,887,983,818,7
1007,1,3,1,1709,1087,1003,5
1192,3,1,3,525,1691,338,9
669,1,4,2,1602,499,1143,8
638,2,1,1,1673,691,357,0
1561,1,3,1,248,380,1736,2
940,2,2,2,609,1673,962,5
1030,1,4,2,305,1014,119,2
1361,1,3,1,1513,596,91,6
40,1,5,3,1464,169,1167,4
1216,1,3,1,1573,699,737,6
72,1,4,2,52,1826,1697,1
1858,1,4,2,271,1446,1568,2
1522,1,3,1,1678,1470,1208,4
1574,1,4,2,743,479,181,2
1557,1,3,1,1136,1423,1837,1
36,1,3,1,85,1252,1164,3
1340,3,1,3,973,1053,447,9
1752,1,4,2,857,468,1735,3
1743,2,1,1,909,1528,299,0
683,2,2,2,497,834,1049,7
815,1,3,1,349,871,125,6
909,3,2,4,602,1116,708,9
1772,2,2,2,189,866,1047,7
1325,1,3,1,391,69,712,3
1967,2,1,1,1315,688,226,0
1695,1,5,3,1610,55,1251,8
352,2,2,2,1359,734,1203,7
1721,1,4,2,1203,1445,783,8
842,1,5,3,796,772,851,8
1356,3,1,3,1514,804,564,9
1513,1,4,2,1538,1231,133,8
1467,1,3,1,679,908,1821,2
250,2,2,2,1392,1219,1175,7
1663,1,4,2,1662,1190,1227,4
1970,1,3,1,344,1298,33,6
1209,3,1,3,1346,1486,506,9
679,3,1,3,1010,1563,605,9
686,1,3,1,322,212,1846,1
1698,1,4,2,776,1322,496,8
1727,2,2,2,1698,305,801,7
850,2,1,1,526,706,399,0
1046,1,4,2,444,534,1674,3
48,2,2,2,998,549,1176,5
91,2,2,2,1086,1613,1492,6
455,1,3,1,1232,662,1467,3
956,1,4,2,212,1607,1429,4
9,2,2,2,934,781,807,7
271,2,1,1,1322,532,222,0
1434,2,2,2,979,273,1024,5
1311,2,2,2,569,1387,861,5
650,1,3,1,1585,146,862,6
142,1,4,2,92,353,1239,6
848,1,5,3,40,49,1823,2
1793,1,3,1,641,1284,1399,1
819,2,2,2,1060,1384,1380,7
1174,1,4,2,1620,1658,1438,3
329,1,3,1,1506,325,1814,1
1262,1,3,1,784,133,478,6
577,1,4,2,1117,796,1826,2
1259,2,1,1,1402,1697,628,0
1336,1,4,2,1134,1442,2,8
1564,3,1,3,515,105,542,9
229,1,3,1,1489,1040,1857,6
738,1,4,2,709,679,1683,3
777,2,1,1,576,630,454,0
800,2,1,1,971,1716,371,0
1545,3,1,3,1280,922,508,9
1211,1,3,1,1450,600,1460,1
323,1,4,2,775,1501,704,8
836,1,3,1,1531,430,144,6
282,2,1,1,949,1348,368,0
459,1,4,2,1182,585,840,8
167,1,4,2,689,1548,1794,2
1479,2,2,2,117,1321,955,7
1121,1,3,1,239,1483,1416,1
1716,1,3,1,1180,1626,596,6
865,1,3,1,64,1491,815,3
201,1,3,1,363,611,805,6
943,1,5,3,1230,1814,1532,8
1307,2,2,2,1370,1361,1064,5
832,1,4,2,1183,170,1051,3
1944,1,5,3,766,1546,633,8
905,1,3,1,1071,242,1591,1
1264,2,2,2,1296,403,1038,7
1789,1,4,2,1505,932,1786,1
1660,1,4,2,1304,315,906,4
1650,3,1,3,973,384,495,9
388,1,4,2,1611,64,1046,8
1314,1,3,1,74,164,283,6
1051,3,1,3,536,460,473,9
410,2,2,2,1381,1060,1192,7
986,2,1,1,1331,1389,326,0
362,1,3,1,1317,1498,848,4
465,1,3,1,1032,1800,1363,1
1855,1,4,2,352,618,158,8
6,1,4,2,67,3,23,2
371,1,4,2,1196,773,1263,3
710,3,1,3,1138,1028,336,9
224,1,5,3,1552,1593,703,8
1456,1,3,1,1187,817,518,6
1392,2,2,2,236,186,1324,5
474,1,3,1,1103,1127,1662,1
1218,1,3,1,960,1293,797,4
1257,1,3,1,904,1620,975,4
1429,1,3,1,836,91,1347,6
1024,1,4,2,1176,900,1200,3
440,2,2,2,1076,1550,1508,5
421,2,2,2,891,1370,1040,7
1838,1,4,2,1715,1572,816,4
1270,2,2,2,894,965,1118,5
1133,2,2,2,1384,252,1160,5
908,2,2,2,136,745,782,5
944,3,1,3,959,87,635,9
926,3,1,3,971,559,369,9
49,1,4,2,80,232,885,3
418,1,4,2,855,1657,1666,3
62,1,4,2,87,836,1181,3
120,1,3,1,973,1329,836,4
96,1,5,3,1017,1436,1719,2
1298,3,1,3,1365,1353,587,9
156,1,4,2,845,292,1725,8
1649,1,5,3,744,1596,57,8
364,1,3,1,1054,1872,1729,2
1597,1,4,2,801,958,1141,3
518,2,2,2,1642,1432,988,7
615,1,4,2,1512,1140,340,8
1978,2,1,1,966,705,376,0
1168,1,3,1,1599,1301,677,6
699,1,3,1,815,1243,1070,3
211,1,5,3,1481,407,1845,2
399,1,4,2,442,972,1734,3
155,1,3,1,1071,194,1547,1
1588,2,2,2,1000,381,1134,7
1622,3,1,3,1673,691,595,9
661,2,1,1,975,521,377,0
1881,1,3,1,802,857,651,6
939,1,4,2,339,243,294,3
330,1,4,2,1129,1002,82,2
668,1,4,2,253,130,1525,8
1290,2,2,2,1396,85,1238,5
936,1,3,1,225,1671,1357,1
1191,2,1,1,1261,162,391,0
1028,1,3,1,1181,1119,175,6
1406,1,4,2,1487,1066,87,2
485,1,3,1,1172,1503,1098,3
1281,1,4,2,957,1525,1277,4
1589,1,4,2,753,580,99,6
1337,1,4,2,736,960,561,8
835,1,3,1,1126,1289,417,6
1486,1,3,1,1242,255,1302,6
1330,1,4,2,333,1580,166,8
292,1,4,2,821,1774,1472,3
355,1,4,2,393,636,755,8
8,2,1,1,553,488,224,0
210,1,3,1,820,1725,747,6
1188,1,4,2,735,915,448,8
289,2,2,2,908,537,1136,5
1152,1,3,1,833,509,940,6
1495,1,4,2,829,21,1422,3
1907,1,3,1,1480,1304,1711,1
1614,2,2,2,1287,654,864,5
451,1,4,2,1411,65,1310,4
1190,1,4,2,39,1345,1531,1
434,1,3,1,1214,1404,1023,6
193,3,1,3,992,877,696,9
1572,1,3,1,1078,1163,1646,6
458,1,4,2,1218,1013,1413,3
1420,2,2,2,859,1220,1014,5
93,3,1,3,7,748,543,9
1718,2,2,2,1452,1570,1196,7
190,1,4,2,1246,1735,1817,3
708,2,2,2,358,1315,66,9
1527,1,3,1,1179,121,1222,3
356,1,4,2,1236,1681,1300,3
336,1,4,2,1477,1884,27,2
1460,3,1,3,1257,517,363,9
900,1,4,2,1198,1113,874,8
