,buying,maint,doors,persons,lug_boot,safety,class
402,3,4,2,3,1,3,2
1231,1,4,2,1,2,1,2
1416,2,1,2,2,1,2,0
1122,1,4,4,3,2,2,0
1653,1,3,4,2,3,1,2
1346,2,4,2,2,2,3,0
307,3,2,4,1,2,1,2
790,1,1,4,3,1,3,1
438,4,4,3,3,2,1,2
39,2,1,2,1,3,2,2
1406,1,2,1,1,1,2,2
955,2,1,2,1,2,1,2
633,1,4,1,2,3,3,3
1203,4,1,3,2,3,3,0
154,4,1,1,2,3,1,2
61,4,1,2,3,1,3,0
771,2,1,1,1,1,2,2
1373,1,2,3,1,1,3,2
1002,2,1,3,2,3,1,2
427,2,3,1,1,1,2,2
250,3,2,3,1,1,2,2
1191,4,2,3,2,2,1,2
545,1,3,1,3,3,2,0
1343,3,3,2,2,3,3,2
215,1,2,1,1,2,1,2
758,2,3,2,1,2,1,2
1147,2,4,3,3,2,3,0
1457,2,2,1,1,1,1,2
318,1,2,2,2,3,3,3
1561,3,3,1,1,1,3,2
1282,1,2,1,3,2,2,1
178,3,2,3,1,2,3,2
1325,3,1,2,1,1,3,2
96,3,3,1,3,1,1,2
900,4,3,1,3,1,2,2
1259,1,2,3,1,3,2,2
299,1,2,3,1,2,1,2
1232,3,3,2,3,2,1,2
1317,2,3,1,3,3,3,0
535,1,3,1,1,1,2,2
315,2,4,3,3,3,1,2
1704,4,1,3,3,2,1,2
1125,4,2,3,3,3,2,2
188,3,3,2,1,3,1,2
548,3,3,4,3,2,2,2
562,4,1,1,2,3,3,0
1526,2,2,4,1,2,2,2
1496,4,4,2,3,2,1,2
1034,3,1,4,3,2,1,2
523,4,3,2,2,1,1,2
1161,2,3,4,2,2,2,0
505,1,2,2,3,2,3,3
814,2,1,4,3,1,1,2
715,1,3,4,1,2,3,2
1645,3,4,2,1,1,1,2
1710,1,1,4,2,3,2,0
273,4,3,3,1,1,3,2
1281,2,2,2,2,1,1,2
959,2,2,1,1,3,1,2
664,3,3,1,3,2,3,2
1286,4,1,4,2,1,1,2
1192,1,2,2,3,1,2,0
803,4,2,2,2,1,1,2
961,1,3,4,2,3,3,0
1303,2,2,4,3,3,2,0
1151,3,3,2,3,2,3,2
1494,2,4,3,1,2,3,2
1685,4,1,2,3,3,3,0
1252,4,3,1,2,3,3,2
401,1,1,2,2,2,1,2
1705,1,2,4,1,1,3,2
274,2,3,1,3,1,1,2
818,3,3,1,1,2,1,2
392,3,2,1,1,1,3,2
1141,1,4,1,1,1,2,2
530,4,1,2,3,3,1,2
446,4,3,2,1,3,1,2
1061,2,1,4,3,2,1,2
1165,4,2,2,1,2,3,2
394,3,1,4,1,2,2,2
538,2,4,4,3,1,2,2
374,2,1,3,1,2,2,2
151,2,4,2,1,1,2,2
1511,1,2,1,2,2,2,1
1167,4,1,2,3,3,2,0
216,2,2,4,1,3,3,2
862,2,1,3,2,2,1,2
997,2,4,1,1,3,3,2
1642,1,4,2,1,2,2,2
793,2,1,1,2,3,1,2
942,2,2,1,2,2,2,0
223,1,4,4,3,1,2,0
526,1,1,4,3,1,2,0
1150,4,4,3,1,3,2,2
398,2,3,1,3,3,2,0
948,4,4,2,1,3,1,2
1104,3,2,3,2,3,3,0
78,3,3,4,2,2,2,2
773,2,4,1,3,3,3,0
624,3,4,3,1,3,2,2
482,3,4,1,3,2,1,2
1287,2,2,3,1,1,3,2
1624,3,1,3,2,3,3,0
127,1,1,4,3,2,3,3
1032,4,3,4,2,2,2,2
1448,1,3,1,3,2,1,2
1275,4,1,3,1,3,1,2
1116,4,3,3,2,1,1,2
35,4,4,1,2,2,3,0
734,1,4,4,3,2,1,2
1137,3,4,2,3,2,2,2
534,4,2,1,2,2,1,2
1337,2,1,2,3,3,1,2
1205,4,1,1,3,1,1,2
429,3,4,4,3,2,1,2
1175,2,2,4,2,1,2,0
1480,1,4,2,3,3,1,2
1198,1,4,1,2,2,3,3
267,1,3,3,2,2,2,0
199,2,4,4,2,2,3,0
729,2,4,4,1,2,1,2
787,3,1,3,1,2,3,2
47,1,1,4,1,3,3,2
718,4,1,4,2,3,1,2
536,3,1,3,3,2,2,0
848,2,1,3,1,1,1,2
1408,3,2,4,2,3,1,2
511,4,1,4,1,2,3,2
1319,3,1,2,2,1,3,0
977,1,3,3,3,3,3,0
1311,3,4,3,3,2,3,2
779,4,4,4,3,2,2,0
1131,4,4,4,2,3,3,0
733,2,1,4,2,1,1,2
11,1,2,4,2,2,3,3
1441,3,4,3,3,3,3,2
596,4,3,4,3,2,3,2
1588,1,1,3,3,3,1,2
1066,1,3,2,1,3,2,2
1293,1,4,1,1,3,1,2
388,3,2,4,1,3,1,2
281,1,4,3,1,1,1,2
1595,1,3,2,1,2,2,2
253,4,4,1,2,1,1,2
515,3,2,3,1,2,1,2
797,4,4,3,2,3,1,2
872,1,3,4,3,1,3,0
420,3,3,1,2,3,2,2
1031,1,2,4,3,2,1,2
815,4,2,2,3,3,1,2
524,3,4,2,1,2,3,2
1470,1,3,1,2,1,3,0
1515,3,1,4,3,3,2,0
1200,3,2,3,2,1,3,0
113,3,1,3,1,1,1,2
210,2,2,2,3,3,1,2
735,2,4,4,3,1,1,2
1531,4,2,1,3,3,3,0
1602,4,3,3,3,3,2,2
1538,4,1,1,2,2,3,0
275,3,3,2,3,3,1,2
1227,1,2,2,1,2,1,2
580,4,2,3,3,2,2,0
1663,1,4,1,3,1,1,2
890,1,1,2,1,3,1,2
271,3,4,2,2,1,3,2
1420,1,4,4,2,3,1,2
1064,2,4,2,1,1,3,2
423,2,2,2,2,3,1,2
59,3,1,2,2,2,2,0
1620,4,3,1,3,3,1,2
73,4,1,4,3,2,3,0
1669,3,2,2,3,1,2,2
1216,1,2,3,3,3,1,2
99,3,2,1,2,2,1,2
466,2,1,2,1,3,1,2
926,2,4,2,1,2,3,2
1670,1,3,3,1,1,2,2
1397,2,4,4,3,2,3,0
1565,2,4,3,1,2,1,2
1029,2,4,1,1,3,1,2
1088,4,1,2,1,3,3,2
1563,4,1,3,2,3,2,2
475,2,2,1,2,1,2,0
1679,1,3,4,1,2,2,2
375,4,4,1,3,2,2,0
213,4,1,2,1,2,2,2
1090,1,2,3,1,1,1,2
783,4,2,3,3,1,2,2
405,3,1,3,2,2,1,2
1289,2,1,1,1,2,1,2
1549,2,2,4,3,2,2,0
204,3,3,4,2,3,2,2
239,3,4,1,1,1,3,2
495,1,1,2,2,2,3,3
312,4,3,3,3,3,3,2
999,4,3,2,2,1,3,2
1709,3,1,4,3,3,1,2
1339,4,2,1,2,1,2,2
1050,3,1,2,1,2,1,2
221,3,4,4,1,2,2,2
411,2,2,3,2,1,1,2
662,3,2,3,2,2,3,0
1201,1,4,2,1,3,3,2
1577,3,1,2,2,2,3,0
988,2,1,2,3,2,1,2
1301,4,3,3,2,1,2,2
1211,1,2,2,3,3,1,2
1495,4,4,2,2,2,2,0
1629,2,4,3,1,3,1,2
206,1,1,3,3,1,3,2
799,4,1,1,3,3,1,2
1239,3,3,4,2,2,1,2
1677,4,2,4,1,1,2,2
456,4,1,4,2,3,2,2
1055,1,3,3,1,3,3,2
49,4,4,4,1,3,1,2
1381,2,2,3,2,2,1,2
1347,4,3,1,1,1,3,2
922,3,1,1,2,3,3,0
352,1,3,1,3,2,2,0
1208,1,1,1,1,2,3,2
404,3,4,3,1,1,3,2
583,1,2,2,1,3,3,2
184,2,1,1,2,2,2,1
62,1,4,3,3,3,3,0
549,3,4,1,1,1,2,2
1262,4,1,2,1,1,1,2
952,3,4,3,3,1,2,2
1250,2,2,4,2,1,3,0
287,2,1,2,1,2,3,2
694,1,3,4,2,1,1,2
1072,4,4,4,2,2,2,0
366,2,3,2,1,2,3,2
836,2,1,2,2,3,3,3
646,1,2,2,2,2,1,2
946,3,3,1,3,2,1,2
377,4,2,4,2,3,2,2
1215,2,2,2,2,1,3,0
842,1,1,1,1,2,2,2
555,3,3,4,2,3,3,2
1512,3,3,3,3,1,3,2
761,2,4,3,1,1,2,2
654,3,2,3,2,1,2,2
1046,1,1,2,1,2,3,2
342,3,2,3,1,3,1,2
1019,1,1,3,1,1,1,2
1217,4,1,1,1,1,1,2
1260,4,4,3,3,3,3,0
325,4,3,4,3,2,2,2
1452,4,4,3,1,2,2,2
234,4,4,3,3,2,3,0
1686,4,2,4,3,2,3,0
984,1,4,4,2,1,2,0
772,2,1,3,3,1,2,2
230,3,1,3,1,2,1,2
550,3,2,4,3,1,1,2
31,3,2,1,2,1,2,2
1181,2,3,1,1,3,3,2
371,4,3,3,1,3,2,2
1333,4,2,2,3,2,3,0
231,1,3,2,2,2,3,0
1041,3,4,2,2,2,1,2
657,4,4,3,1,2,1,2
826,3,2,3,3,1,2,2
487,4,3,1,2,2,3,2
1517,3,4,1,2,1,3,2
441,1,1,3,2,3,3,1
1498,2,4,4,1,1,2,2
1062,1,1,1,1,3,1,2
1367,2,2,2,2,2,2,0
1003,3,4,3,1,3,3,2
1407,2,2,3,3,1,3,2
1456,2,3,2,3,2,1,2
643,4,3,1,2,3,2,2
1574,1,1,2,2,3,2,1
670,3,3,1,2,3,1,2
539,2,4,2,2,2,2,0
33,4,2,2,3,3,2,0
1725,2,1,1,3,3,3,3
841,3,3,1,1,1,1,2
103,4,2,3,3,3,3,0
581,1,2,1,3,1,3,1
1727,1,3,4,3,1,1,2
228,3,4,3,3,3,2,2
1033,1,1,1,1,3,3,2
22,1,1,4,3,2,2,1
883,2,3,4,2,1,1,2
214,4,1,2,3,1,2,2
1363,2,2,1,3,2,3,3
593,3,1,2,3,2,2,0
64,2,1,2,1,2,2,2
1459,4,2,2,3,2,1,2
1309,1,1,2,3,3,2,1
400,1,2,4,1,1,2,2
517,2,4,4,2,2,1,2
995,2,3,3,1,2,3,2
1202,3,1,4,2,1,2,2
998,4,1,1,1,3,3,2
1560,4,1,3,1,2,1,2
1291,3,2,1,1,1,1,2
544,2,3,4,2,3,3,0
107,1,2,4,2,1,1,2
866,1,3,1,3,3,3,0
687,3,2,4,3,1,3,0
913,1,3,3,1,2,2,2
155,3,3,3,2,3,1,2
625,1,4,4,2,1,3,0
16,2,4,2,1,3,3,2
413,4,4,3,2,2,3,0
1721,3,3,4,2,1,1,2
293,3,2,4,3,3,3,0
907,2,3,2,2,3,3,0
1481,1,2,4,2,3,3,1
17,4,1,4,1,1,2,2
357,2,3,2,2,1,1,2
737,3,4,4,1,1,1,2
417,1,4,1,3,1,3,0
859,1,4,3,1,1,3,2
819,4,2,1,3,2,2,0
196,1,3,4,1,3,1,2
1537,1,1,3,1,3,1,2
292,2,4,3,2,1,1,2
1465,1,3,3,3,1,2,2
768,4,4,2,1,1,2,2
1350,4,2,4,3,2,2,0
1117,1,4,2,2,3,2,0
300,3,3,4,1,3,3,2
627,3,4,4,1,1,2,2
1715,3,4,1,3,3,3,2
901,4,1,1,1,3,2,2
310,2,3,1,2,2,2,0
923,2,2,1,1,2,2,2
1436,4,4,3,3,1,2,2
892,3,4,1,3,2,3,2
1171,3,2,1,3,3,2,0
1683,3,2,1,1,2,3,2
6,1,1,4,2,1,3,1
440,2,4,1,3,2,2,0
467,1,4,2,2,3,3,3
1180,3,2,2,2,3,2,0
1596,2,1,2,3,1,2,0
663,2,2,4,1,1,2,2
1612,3,2,3,1,3,2,2
172,2,2,1,3,2,1,2
1130,3,3,2,3,3,2,2
1138,1,3,1,2,3,2,0
1391,4,3,3,3,1,1,2
1609,4,3,2,2,2,2,2
1475,1,1,3,3,1,2,2
1123,4,4,2,3,3,2,0
227,2,2,4,1,1,1,2
1490,1,4,3,3,2,3,3
361,3,4,4,1,3,2,2
770,2,4,4,1,1,3,2
1386,4,3,1,1,1,1,2
828,1,2,3,1,2,2,2
1474,4,3,1,2,1,2,2
865,4,1,3,2,2,1,2
1682,2,3,1,1,2,1,2
600,2,2,1,1,2,3,2
649,4,3,4,3,1,3,2
1614,1,4,4,1,1,2,2
1193,3,4,1,2,1,2,2
303,1,3,1,1,3,3,2
626,1,4,1,1,3,2,2
1172,1,4,1,1,2,2,2
1533,4,4,4,1,2,1,2
810,3,4,2,2,3,3,2
323,4,4,3,1,1,3,2
414,1,4,3,3,1,2,2
1509,4,2,4,3,3,3,0
424,3,1,4,3,2,2,0
165,1,1,3,3,3,3,1
1222,3,4,1,1,3,1,2
763,1,4,1,2,2,1,2
1600,4,3,3,1,1,2,2
696,2,1,3,1,1,3,2
1599,2,2,1,3,3,3,3
686,4,4,4,3,1,3,0
1148,1,2,4,3,3,1,2
1592,4,2,4,2,1,2,2
1491,3,1,2,1,2,2,2
105,3,1,2,3,3,3,0
1298,1,3,1,3,1,1,2
1583,3,3,3,2,1,1,2
1098,3,1,3,1,1,2,2
1440,4,4,1,2,1,3,0
881,1,3,4,1,1,3,2
322,3,4,4,1,2,3,2
42,4,1,2,1,2,1,2
1197,1,2,2,2,2,2,1
1719,3,2,1,3,2,2,0
1020,3,3,1,3,1,2,2
331,4,3,4,2,1,3,2
406,3,2,2,2,3,1,2
327,3,3,2,2,1,2,2
963,3,1,2,3,2,1,2
1362,1,2,4,1,2,2,2
369,2,2,2,2,3,2,0
525,2,4,3,2,1,2,2
1118,2,4,2,2,1,1,2
617,1,3,4,1,3,2,2
500,4,4,1,2,2,1,2
397,2,4,1,2,1,1,2
616,3,4,3,2,1,3,2
849,3,1,1,3,2,1,2
4,3,2,2,3,3,2,0
962,2,1,3,2,2,3,3
489,3,4,3,2,2,1,2
1516,3,4,1,1,2,2,2
563,4,4,1,2,2,2,0
620,3,3,3,3,2,3,2
837,3,4,3,3,1,1,2
1460,1,2,4,1,2,1,2
1724,3,1,1,2,3,2,0
37,4,1,1,1,3,1,2
964,2,2,2,2,3,3,3
145,1,1,1,1,1,1,2
132,1,1,1,3,2,2,1
1571,4,2,2,2,3,3,0
1444,2,2,4,1,2,1,2
1398,2,1,3,3,2,2,1
935,4,1,2,3,2,2,0
1720,2,1,4,1,3,2,2
1155,3,4,4,3,1,3,2
759,3,3,1,3,2,2,2
208,1,3,1,2,3,3,0
721,1,3,1,3,1,2,2
1140,3,3,1,2,1,2,2
575,1,2,3,3,1,1,2
1422,3,3,2,2,1,1,2
1170,1,2,3,3,2,2,1
1591,4,3,1,1,2,1,2
1358,4,3,3,2,2,1,2
473,1,2,4,3,2,2,1
367,2,1,1,3,1,2,0
792,3,2,4,2,1,1,2
1082,3,1,4,2,2,1,2
97,1,1,2,1,2,1,2
1248,3,1,4,3,1,1,2
1505,4,2,2,2,2,2,0
270,3,2,3,3,2,2,0
198,1,1,1,2,2,2,1
1461,1,1,3,2,2,3,3
1484,2,3,4,2,2,1,2
1536,2,1,1,3,2,3,3
1307,4,1,2,1,1,2,2
644,2,4,4,3,3,3,0
1368,4,1,4,3,2,2,0
874,4,1,3,1,1,3,2
895,1,2,3,2,3,3,1
442,4,4,3,1,1,2,2
354,3,2,3,2,3,2,2
1129,4,1,2,1,3,2,2
971,3,3,4,3,1,3,2
494,2,2,3,1,3,3,2
659,4,3,1,3,1,1,2
838,4,3,2,1,1,2,2
498,1,1,4,1,3,1,2
1723,3,4,1,3,1,3,2
569,2,1,1,2,1,3,1
134,4,1,4,2,2,1,2
653,2,4,2,3,3,3,0
572,2,2,2,3,2,3,3
1626,1,4,3,1,2,1,2
348,2,4,1,1,1,3,2
1234,1,2,1,2,2,3,3
941,4,3,2,2,3,2,2
1471,3,1,2,3,1,3,0
416,3,3,2,1,1,3,2
574,2,4,4,3,3,2,0
855,3,2,2,2,1,2,2
714,4,2,2,2,1,2,2
711,1,1,1,2,2,3,3
1063,4,3,3,3,2,1,2
407,4,3,4,1,1,2,2
867,2,4,4,1,3,1,2
117,4,2,3,2,2,3,0
861,4,4,2,2,3,1,2
992,3,2,4,2,1,2,2
63,2,4,3,2,2,3,0
1689,1,4,2,2,2,3,3
956,2,2,4,2,1,1,2
755,2,3,4,1,3,3,2
1278,2,2,1,1,2,1,2
177,3,4,4,3,3,1,2
294,2,2,4,2,2,3,3
1290,1,4,2,3,1,3,0
719,1,2,3,3,3,2,0
712,4,2,2,3,1,2,2
1011,4,4,4,2,3,2,2
777,3,1,1,1,2,2,2
1121,1,4,3,1,3,1,2
95,3,1,4,1,2,3,2
328,3,3,4,2,2,3,2
124,1,2,1,1,1,3,2
1070,2,1,3,3,1,3,2
488,4,3,4,3,3,1,2
554,4,2,4,1,2,3,2
483,2,2,3,3,2,3,3
700,3,1,4,2,3,3,0
1318,1,4,1,2,3,2,0
464,3,1,1,1,1,3,2
1214,4,4,2,1,3,3,2
1603,2,3,2,3,2,2,0
760,3,3,3,3,2,2,2
528,4,4,1,1,3,1,2
917,2,1,1,2,1,2,0
447,1,1,2,1,1,2,2
351,1,3,3,1,2,1,2
615,4,2,2,3,3,3,0
933,2,2,2,1,2,1,2
1546,3,4,2,3,1,1,2
1160,3,2,1,3,3,3,0
111,3,2,2,3,3,3,0
1168,4,1,1,2,1,1,2
684,3,3,3,2,2,1,2
1177,4,4,2,1,2,1,2
808,1,3,4,1,1,2,2
888,4,3,2,3,3,2,2
854,1,3,4,3,3,3,0
1418,2,4,2,1,1,1,2
681,1,2,1,2,2,1,2
1514,2,3,4,3,1,3,0
775,2,4,1,2,3,2,0
1630,4,4,1,3,1,1,2
329,1,3,3,1,3,2,2
1700,1,4,2,1,2,3,2
288,1,3,1,1,2,2,2
598,1,2,3,2,3,2,0
695,3,1,4,2,3,2,2
1095,2,4,4,3,1,3,0
1419,1,1,3,2,3,1,2
1228,4,2,4,2,1,3,0
1126,4,3,2,3,2,3,2
1306,4,2,3,2,1,3,0
486,2,4,1,3,1,2,2
846,1,3,2,3,3,2,0
869,3,2,4,1,2,2,2
65,1,3,2,2,3,2,0
474,4,4,2,3,3,1,2
450,4,4,4,2,2,3,0
1482,4,1,1,2,1,2,2
269,1,4,3,1,2,3,2
920,3,2,1,1,3,2,2
1487,4,1,3,3,3,2,2
1379,4,4,1,1,3,2,2
1025,2,3,1,1,2,3,2
1213,3,2,2,1,2,1,2
58,4,2,3,3,1,1,2
34,2,3,3,2,3,2,2
101,3,1,1,2,2,1,2
180,4,1,1,3,3,3,0
1575,2,1,2,1,3,3,2
1226,4,2,4,3,3,1,2
1636,1,1,1,3,1,1,2
1567,3,3,2,1,1,2,2
1100,3,2,3,3,1,1,2
255,1,3,1,1,3,2,2
125,3,4,3,3,1,3,2
1513,2,4,2,3,1,3,0
1426,4,2,2,1,3,1,2
335,2,1,2,2,2,1,2
879,2,1,2,2,3,2,1
1111,2,4,1,2,2,1,2
1328,4,1,2,3,2,1,2
1279,4,4,4,1,2,3,2
788,3,4,4,2,1,3,2
1053,1,2,1,2,1,3,1
1632,2,3,1,2,3,3,0
1443,4,2,3,1,3,1,2
1266,2,3,2,3,1,2,2
90,2,3,2,3,3,2,0
588,3,3,1,2,2,3,2
577,4,3,1,2,1,3,2
1194,2,2,4,3,3,3,3
732,3,4,2,3,3,2,2
1377,1,1,1,3,2,3,3
789,1,2,1,1,3,2,2
812,1,1,4,3,1,1,2
897,2,4,1,1,2,3,2
1166,3,1,2,2,3,1,2
1038,3,1,2,1,1,1,2
148,1,2,1,1,2,2,2
158,2,3,2,1,1,1,2
668,2,2,3,1,1,2,2
559,2,3,3,3,3,2,2
1458,1,1,2,2,1,3,1
1477,3,3,3,1,1,3,2
1178,1,1,2,2,3,3,3
605,1,4,4,3,3,2,0
131,1,4,2,1,3,1,2
1635,1,3,1,1,2,1,2
651,2,3,4,2,1,3,0
1113,4,1,1,2,2,2,0
1316,2,1,4,3,1,2,0
744,2,3,3,2,2,2,0
247,3,2,2,1,2,3,2
1374,4,1,3,3,1,2,2
899,2,2,2,1,1,1,2
801,1,3,3,3,2,1,2
1056,2,1,3,3,3,3,1
547,1,4,2,2,3,1,2
807,2,3,4,3,1,1,2
161,3,2,1,3,1,3,0
1244,3,1,2,1,1,2,2
969,4,2,2,1,1,1,2
1134,2,4,1,1,2,2,2
1712,3,1,3,2,2,2,0
753,4,2,4,2,2,3,0
1545,2,4,3,2,1,3,0
1637,3,3,1,2,3,3,2
1251,4,4,1,3,3,3,0
1550,3,4,2,1,1,2,2
1037,4,1,4,1,1,1,2
1315,3,1,3,3,2,1,2
378,3,2,3,3,1,3,2
317,4,4,4,3,1,2,2
708,4,4,2,2,1,2,2
1015,1,4,3,2,2,2,0
1361,2,3,1,2,2,1,2
425,2,2,3,2,3,3,0
1128,1,1,2,3,2,1,2
990,3,2,1,2,1,3,0
496,2,3,4,2,3,1,2
1639,1,1,1,3,1,2,0
571,2,4,1,3,2,3,0
2,2,4,4,1,2,2,2
957,3,3,4,1,2,3,2
469,2,1,1,1,1,1,2
1506,4,1,2,1,1,3,2
1553,3,4,1,1,2,3,2
820,4,3,2,3,2,1,2
137,2,3,4,1,1,1,2
906,2,1,2,2,3,1,2
445,3,3,4,1,1,3,2
884,2,1,1,2,2,3,3
778,1,1,4,2,3,1,2
873,3,4,2,3,2,3,2
1552,3,2,1,3,2,3,0
1430,2,3,4,1,2,1,2
412,4,3,4,2,2,3,2
147,3,3,2,2,3,2,2
1378,3,2,1,3,1,1,2
980,4,1,3,3,3,3,0
637,4,3,4,2,1,1,2
645,2,4,2,2,3,1,2
556,2,4,4,1,3,3,2
1000,1,4,1,2,3,1,2
1622,3,3,3,3,2,1,2
1597,2,4,3,1,3,2,2
1429,4,1,1,1,1,3,2
533,2,3,3,2,1,3,0
705,1,4,4,1,3,2,2
201,4,3,1,1,3,2,2
745,3,1,1,2,2,3,0
839,1,2,1,3,2,1,2
1225,1,2,2,1,2,2,2
567,4,3,3,3,3,1,2
698,2,1,2,3,3,3,3
635,3,2,2,2,1,1,2
1582,2,1,3,1,1,2,2
20,2,3,3,1,1,1,2
1073,3,4,1,3,3,2,2
911,4,1,4,3,1,3,0
373,2,4,4,2,1,3,0
169,1,4,3,2,1,1,2
173,4,4,4,3,3,3,0
1468,4,2,1,1,2,1,2
602,1,2,4,1,3,3,2
1396,1,3,2,1,1,3,2
174,4,2,2,2,2,3,0
776,3,3,4,3,2,1,2
1223,2,1,4,1,2,2,2
1321,4,1,2,3,1,1,2
463,3,2,4,2,2,2,0
1114,4,3,1,1,1,2,2
46,3,1,2,2,1,2,2
167,3,4,4,2,3,3,2
1146,2,1,3,2,3,3,1
1703,4,3,4,1,1,1,2
725,1,4,3,2,1,3,0
565,2,4,4,3,2,1,2
573,4,3,3,3,2,3,2
764,4,4,2,1,2,2,2
823,2,2,3,3,2,2,0
1268,3,4,3,3,2,1,2
1623,3,1,4,1,1,3,2
827,3,3,3,1,1,1,2
1389,3,3,1,2,1,3,2
409,4,4,3,2,3,2,2
451,3,4,2,1,1,3,2
623,1,1,4,3,2,1,2
19,2,2,1,1,1,3,2
1647,2,3,2,2,2,1,2
983,3,3,3,2,1,3,2
207,2,4,1,3,3,1,2
1365,2,2,2,1,2,2,2
634,3,4,2,1,3,3,2
1132,1,1,2,3,2,3,3
190,1,2,2,1,1,1,2
672,1,2,2,1,2,3,2
296,3,1,3,2,3,1,2
170,3,1,3,2,1,1,2
802,2,1,4,3,1,3,1
576,3,4,4,3,2,2,2
1040,1,2,4,2,1,2,0
1687,2,3,2,1,3,3,2
996,3,1,2,2,2,1,2
301,3,1,2,3,2,3,0
762,4,3,3,2,1,3,2
56,4,3,4,1,1,3,2
1340,2,4,4,2,3,1,2
769,3,2,1,2,3,3,0
648,3,4,4,3,3,2,2
978,2,4,3,1,3,3,2
1664,1,1,3,3,1,1,2
82,1,3,4,3,2,2,0
723,3,2,3,3,3,2,2
1179,2,3,4,2,1,2,2
1676,1,3,2,3,2,1,2
743,4,2,2,2,3,1,2
965,1,4,1,3,3,2,0
1246,2,3,2,3,1,1,2
1714,2,1,2,2,2,2,1
1274,2,2,1,3,3,1,2
658,2,4,1,3,3,2,0
422,1,4,2,3,1,2,0
1621,1,1,3,2,3,2,0
298,4,2,1,3,3,2,0
115,1,1,1,3,3,3,3
240,1,4,2,3,3,3,3
1189,2,2,2,3,1,2,0
9,1,4,3,1,3,3,2
87,4,4,1,1,3,3,2
1093,2,4,1,3,1,3,0
286,1,2,3,2,2,3,3
1163,3,3,3,2,2,3,2
1641,1,2,4,1,2,3,2
108,2,4,4,1,2,3,2
3,2,3,3,2,3,1,2
492,1,2,4,2,3,1,2
685,4,3,1,3,3,3,2
27,2,2,1,1,1,2,2
363,1,2,3,2,2,1,2
1384,2,2,4,3,1,2,0
1288,3,3,2,2,2,2,2
976,4,3,1,3,2,2,2
731,1,3,2,2,2,2,0
1157,3,3,3,2,2,2,2
433,1,1,4,1,2,2,2
638,1,3,4,1,1,1,2
454,1,2,4,2,2,1,2
970,4,1,4,1,3,2,2
360,4,1,3,2,1,1,2
114,1,1,4,1,3,2,2
786,4,1,2,2,1,2,2
806,4,3,1,1,2,2,2
88,1,2,2,2,3,1,2
529,2,4,1,1,3,2,2
452,1,3,4,3,3,2,0
1387,4,1,2,2,1,1,2
220,3,2,2,1,1,1,2
23,3,2,3,3,2,3,0
1432,2,4,1,2,3,1,2
381,2,3,3,1,3,2,2
449,2,1,1,2,3,3,3
1245,3,1,3,1,3,1,2
1584,3,3,2,1,2,1,2
1562,1,3,4,2,2,3,0
507,1,1,4,2,1,1,2
1633,4,2,3,2,3,1,2
24,1,1,1,1,1,2,2
353,2,3,2,2,3,2,0
338,3,3,1,1,1,2,2
1120,2,4,4,1,3,2,2
1410,1,2,3,1,1,2,2
1091,4,1,3,1,3,3,2
144,2,2,1,2,1,1,2
975,1,4,3,1,3,2,2
612,1,1,1,1,3,2,2
1489,1,2,4,2,3,2,0
932,1,4,2,3,2,3,3
660,2,2,3,2,2,3,3
601,2,4,1,2,2,3,0
1356,4,3,2,2,2,1,2
1692,4,4,2,1,2,3,2
68,2,3,1,2,1,1,2
418,3,4,1,1,2,1,2
1693,1,1,1,2,1,2,0
1078,2,1,1,1,2,3,2
1547,1,3,1,2,2,1,2
1492,3,4,4,2,3,1,2
1385,1,3,3,2,1,2,2
1559,3,2,2,1,3,2,2
189,1,1,4,2,1,2,0
606,4,4,1,3,1,3,0
960,4,3,2,3,3,1,2
1628,3,4,4,2,1,1,2
502,2,2,3,1,1,1,2
1269,1,2,1,1,3,3,2
171,2,4,4,2,1,2,2
251,4,2,4,1,1,3,2
1335,3,4,1,2,2,1,2
1229,2,2,1,2,3,3,3
85,2,3,1,2,1,2,2
419,1,2,3,2,1,1,2
1395,1,4,2,1,1,3,2
1313,4,4,4,1,3,3,2
639,1,1,2,1,3,3,2
225,1,4,3,2,1,2,0
1099,1,4,4,3,3,1,2
632,2,4,1,2,1,2,2
1476,4,4,4,1,3,2,2
1638,3,1,2,2,3,2,0
704,2,4,2,2,2,1,2
389,3,4,1,1,1,1,2
682,4,2,3,1,2,3,2
14,1,2,2,3,3,3,3
316,4,1,1,3,2,1,2
1297,4,4,2,3,3,3,0
1199,2,2,4,2,2,2,0
720,2,3,4,3,3,3,0
1209,4,4,1,1,2,1,2
830,3,3,2,2,1,3,2
8,3,4,3,1,1,2,2
1401,3,3,2,3,1,3,2
676,4,2,4,2,2,1,2
707,2,1,4,3,3,3,3
1330,3,3,1,2,1,1,2
1310,4,4,4,1,1,3,2
1271,1,3,2,3,3,1,2
924,4,3,2,2,2,3,2
278,3,2,4,1,1,2,2
850,2,1,4,2,2,2,1
860,2,3,2,2,1,2,2
701,3,4,4,2,2,1,2
950,2,1,2,3,1,1,2
1439,2,2,2,2,2,3,3
1502,4,3,2,3,1,3,2
1206,1,4,1,2,2,2,0
1294,1,4,1,3,2,3,3
629,1,4,2,3,3,2,0
1684,4,1,2,2,3,2,0
817,4,2,1,1,3,2,2
346,4,3,3,3,2,2,2
243,3,2,1,1,2,1,2
314,3,1,3,1,1,3,2
1646,4,4,1,2,3,1,2
321,1,2,2,2,3,2,1
