,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
7242,12,15,12,9,9,7,10,4,6,11,6,10,8,7,6,7,21
17099,3,8,4,6,2,1,3,4,6,2,1,9,1,9,1,9,1
10985,3,5,4,3,3,9,9,5,6,10,6,8,3,8,5,11,10
8083,7,12,10,9,7,7,8,3,10,12,7,10,3,9,6,9,13
2237,6,10,8,9,9,9,7,7,5,8,7,10,11,11,10,10,8
16413,5,5,6,7,4,8,6,7,10,7,7,12,1,10,10,9,18
18201,8,12,11,9,9,8,8,3,9,12,8,10,4,9,6,9,13
16427,9,12,13,9,8,10,8,4,7,11,5,8,4,9,4,9,21
13989,4,2,5,3,3,7,8,5,8,8,7,11,4,9,5,10,7
16008,6,10,6,8,4,4,12,4,7,12,13,7,2,12,3,7,11
19973,2,2,3,2,2,6,12,8,2,10,7,5,2,10,4,9,14
9286,3,4,4,3,3,8,8,7,8,8,7,5,3,9,4,8,5
1226,5,12,7,9,8,9,8,3,9,8,7,8,2,8,12,8,19
18833,4,8,6,6,3,9,8,3,11,12,6,10,2,9,7,10,19
868,4,9,6,7,3,8,15,2,6,8,11,9,1,9,1,9,22
11883,7,10,10,8,6,10,7,3,8,11,4,9,5,8,6,11,7
12461,3,4,5,3,3,6,10,2,7,11,9,10,4,9,3,9,7
11885,9,12,12,9,8,10,8,3,8,11,4,9,4,9,4,10,7
18058,6,9,9,7,5,7,9,2,9,11,10,10,4,9,4,8,12
12972,2,1,3,1,2,8,7,10,1,8,9,9,6,7,1,9,2
17426,6,11,9,9,5,4,9,5,8,11,13,13,5,9,5,7,7
2318,9,10,11,9,10,9,5,5,5,9,5,12,7,7,9,8,23
19190,4,5,5,4,3,8,7,7,6,7,7,10,3,10,5,10,8
13074,4,8,6,6,3,8,13,4,5,7,12,10,3,11,2,9,6
13399,7,9,9,7,6,11,7,4,8,11,4,8,5,10,5,11,21
10633,5,10,4,5,3,11,6,4,5,12,5,10,3,9,7,13,13
4533,4,8,5,6,4,8,9,4,8,11,6,8,3,8,6,9,18
4623,3,4,4,5,3,8,10,5,2,8,9,11,3,10,5,9,23
5087,7,13,8,7,6,9,9,4,4,7,10,8,11,11,4,7,15
15152,3,8,5,6,2,8,15,1,6,8,11,9,1,9,1,9,22
920,5,10,8,8,6,7,6,3,4,5,2,7,6,8,6,5,0
13734,3,2,3,2,2,6,12,9,3,10,7,5,2,10,4,9,14
4188,3,8,4,6,3,6,6,4,9,4,3,8,1,7,3,7,1
4592,4,10,5,8,5,9,10,14,3,8,5,9,4,9,1,9,21
17609,3,7,4,5,3,8,8,1,7,14,7,9,1,9,2,9,3
14684,4,10,5,7,4,8,8,1,8,14,7,9,1,9,2,9,3
14453,5,8,6,6,4,8,8,5,10,7,7,11,4,9,7,9,12
5698,2,5,3,4,2,11,7,3,7,13,5,9,1,8,2,8,4
15293,5,8,7,6,5,10,8,6,8,11,5,6,4,9,4,9,5
9032,3,5,4,6,4,9,8,7,3,9,8,10,3,10,5,9,23
2802,6,9,8,7,9,8,7,4,5,7,7,9,9,7,8,8,7
2342,6,7,6,5,5,4,11,3,4,11,10,9,7,12,3,7,15
14555,3,7,5,5,3,8,5,3,1,7,3,9,3,7,2,8,0
13167,4,9,6,7,4,12,3,3,3,10,3,10,3,7,4,8,0
14708,3,4,5,5,2,9,11,3,3,7,14,9,3,12,1,9,11
12911,5,11,6,8,2,8,8,6,5,8,7,9,4,9,5,9,12
13261,9,15,9,9,5,12,5,4,4,13,7,10,4,11,4,10,18
3841,6,11,8,9,9,8,8,7,7,8,7,10,4,9,5,9,21
3142,3,4,4,2,2,6,12,3,6,14,7,5,2,10,2,9,25
15776,4,10,6,8,2,7,9,5,4,8,15,9,4,10,1,9,6
2274,5,10,6,8,5,6,11,5,6,11,10,5,5,11,5,8,14
8664,4,6,6,9,8,9,12,6,1,9,7,7,5,11,7,9,14
17191,4,8,6,6,4,12,3,4,4,11,3,11,3,7,3,9,0
3195,7,11,10,9,7,8,9,5,9,5,8,10,7,10,2,9,24
14376,3,11,5,8,2,8,15,1,7,8,12,9,1,9,1,9,22
8034,5,7,7,9,7,10,6,4,3,8,6,8,5,9,7,10,21
15890,3,8,4,6,3,9,7,6,11,8,7,8,2,8,9,9,19
17238,5,6,7,5,4,8,8,2,10,11,7,9,3,9,4,8,12
9759,3,6,4,5,3,6,12,4,6,12,10,6,2,11,4,7,25
10619,4,5,6,4,4,9,7,3,5,9,6,8,9,8,3,9,2
8283,6,9,6,10,6,9,7,8,3,9,8,13,4,9,7,8,23
9260,4,7,4,5,3,1,3,5,6,2,2,8,1,9,1,9,1
14193,9,12,8,9,5,4,12,4,5,11,13,9,4,11,2,8,6
6574,7,10,9,9,8,7,8,6,9,8,6,9,6,6,8,5,5
5526,6,10,9,7,10,8,8,4,5,7,7,10,7,10,8,7,10
4106,7,11,6,9,3,5,14,4,8,13,11,5,1,11,2,6,22
17140,6,9,8,7,5,6,14,7,4,14,7,2,1,11,5,9,14
14063,5,8,7,6,5,9,10,5,5,13,5,4,2,11,4,9,14
19390,4,8,6,12,9,9,10,6,1,9,7,7,6,12,7,10,14
7977,6,10,8,9,8,9,7,5,5,7,8,8,5,9,2,8,24
9694,8,14,7,8,4,10,7,6,7,12,5,9,6,8,6,9,8
12124,4,10,5,7,3,10,6,4,7,15,5,10,1,8,2,8,4
344,5,9,6,7,4,7,8,7,8,13,9,12,3,11,5,8,20
11228,8,16,6,9,5,7,8,8,5,10,8,10,6,11,6,9,17
6850,2,1,2,1,1,5,7,6,2,8,7,11,3,8,2,11,7
1822,5,8,6,6,4,10,9,4,6,13,5,5,3,10,4,10,14
7420,5,9,7,7,4,9,9,9,9,7,8,9,3,8,7,12,8
9416,4,10,5,7,2,8,8,5,5,8,7,9,4,9,5,9,12
14225,7,11,9,8,6,9,9,4,8,11,6,8,3,9,6,9,18
18278,5,7,5,5,3,4,13,5,4,12,12,8,3,11,2,8,6
3904,6,8,7,6,5,6,8,6,7,10,9,10,3,10,6,10,8
10042,3,4,5,3,3,7,8,3,8,12,7,10,3,9,4,9,13
17664,6,12,9,9,13,10,6,3,2,9,5,9,12,8,4,7,2
11270,7,10,8,8,6,8,9,4,8,11,8,9,3,9,6,7,18
3226,7,12,7,9,5,4,14,5,7,13,11,5,2,12,2,5,22
2584,4,8,6,6,3,12,7,3,8,15,4,9,1,9,1,9,4
17217,3,12,4,9,3,16,5,5,6,14,2,9,1,8,1,9,4
10845,4,9,7,7,4,8,10,2,7,7,12,9,3,12,3,9,11
4546,5,4,7,5,3,12,9,6,2,7,10,9,9,11,1,9,15
12967,9,13,7,7,5,10,6,5,6,11,6,10,6,8,8,11,16
12623,3,4,4,3,3,9,8,4,6,11,6,7,3,9,4,10,16
11538,5,10,5,8,5,6,11,10,4,10,7,6,2,11,4,9,14
18486,6,8,8,7,7,7,8,6,8,8,7,10,5,6,7,6,5
15851,6,11,7,9,7,6,9,7,7,7,6,10,5,9,7,11,10
7657,5,11,8,8,5,10,8,1,9,10,5,8,4,9,4,9,12
17095,4,5,6,6,2,7,11,4,2,9,14,9,2,12,1,9,11
17796,3,8,5,6,5,11,8,3,5,9,6,6,4,10,6,8,3
15904,3,8,4,6,4,8,9,8,7,8,6,7,3,9,9,9,18
1694,2,4,2,3,1,8,8,2,9,8,7,9,1,9,4,9,3
14032,2,4,3,3,2,8,8,2,9,12,7,9,2,9,6,9,19
2878,4,8,6,6,4,9,8,3,10,12,6,8,2,8,7,9,19
12118,2,4,3,2,2,12,7,3,6,12,5,9,1,8,2,9,4
7524,5,10,7,8,8,9,7,5,3,9,8,9,9,10,5,8,6
4691,4,8,6,6,5,10,12,7,5,7,6,8,3,9,7,5,19
17895,7,8,6,11,5,9,6,6,6,12,7,8,4,10,10,9,19
4175,9,11,9,6,6,6,10,4,5,11,8,10,6,8,4,7,21
360,2,6,3,4,2,11,7,4,6,13,5,10,2,7,2,8,4
6335,5,9,5,7,6,7,8,9,7,7,7,8,3,9,8,10,16
16175,7,16,5,9,4,12,6,6,5,14,4,9,4,9,6,10,3
19506,4,5,5,7,2,8,8,5,5,8,7,9,4,9,5,9,12
13671,7,11,9,8,7,8,8,3,10,13,7,9,2,9,7,9,19
4891,5,8,6,7,6,7,8,5,5,8,8,10,5,12,9,12,13
3139,8,14,9,9,6,7,4,4,3,9,5,11,8,3,3,9,2
13220,6,12,7,9,6,8,9,9,7,6,7,13,5,8,5,8,20
6028,5,10,7,8,5,7,11,4,8,11,10,5,2,11,6,8,14
19248,9,10,10,8,6,4,10,6,9,11,11,11,4,10,3,7,24
12320,6,7,7,6,7,9,10,6,8,8,8,9,4,11,8,8,22
18926,1,1,2,2,1,13,5,6,4,13,5,12,1,8,1,9,4
12533,6,14,6,8,5,12,3,5,3,12,5,12,6,4,5,11,0
14866,5,9,6,7,4,8,7,9,6,8,6,9,4,9,4,9,17
18580,4,10,6,7,3,8,7,9,8,7,7,9,3,8,7,12,8
473,8,12,8,7,4,10,6,5,5,14,7,9,3,10,4,9,18
7352,7,12,9,9,5,5,15,5,6,14,8,3,2,11,3,6,25
18963,7,11,9,9,6,8,9,4,11,13,9,8,3,9,8,7,19
7517,9,15,8,9,4,7,10,3,8,11,8,7,3,11,6,7,25
2239,7,10,10,8,8,9,7,3,7,11,6,9,5,8,5,9,21
16775,10,15,7,9,4,6,12,7,10,13,9,8,3,9,7,9,20
363,3,9,4,6,2,2,12,5,7,12,12,10,1,9,3,7,25
13737,3,11,5,8,2,8,15,1,7,8,12,9,1,9,1,9,22
915,4,6,6,4,3,5,9,6,8,13,10,12,2,10,4,8,20
376,4,3,5,4,4,8,8,7,7,7,7,6,6,9,4,8,5
19986,3,4,4,2,3,9,8,7,4,7,8,9,7,6,2,8,2
4327,4,5,5,7,2,2,14,6,4,13,11,7,1,9,3,7,25
5946,6,7,7,9,6,9,8,7,4,9,9,12,4,10,7,8,23
9044,3,7,3,5,2,10,8,1,9,12,6,7,1,8,2,8,4
5156,7,12,9,10,6,8,9,4,12,13,8,9,3,10,8,9,19
14748,4,4,5,5,2,8,8,5,5,8,7,9,4,9,5,9,12
11513,7,12,9,9,6,10,6,2,8,11,4,10,6,10,6,12,7
14628,2,1,3,2,1,9,10,5,3,8,13,9,3,11,1,9,6
10098,5,8,6,6,4,9,7,3,8,8,7,8,1,10,5,8,3
7731,6,8,6,6,4,7,10,2,9,10,10,6,2,10,5,5,11
754,8,10,11,9,11,10,8,4,5,10,3,9,9,5,9,13,7
3984,4,5,5,7,2,6,8,7,10,8,7,15,2,10,5,10,20
16224,5,8,7,6,5,7,8,7,8,8,6,10,7,8,4,8,9
10626,4,8,6,6,5,10,8,4,6,11,5,7,4,9,3,9,5
18042,6,9,6,7,3,3,12,7,5,14,13,9,3,11,2,8,6
4815,5,7,7,5,5,11,7,8,6,7,8,5,9,6,3,6,2
10800,6,8,7,6,6,8,9,8,7,7,6,9,7,8,5,11,1
2527,5,9,7,8,6,9,9,8,6,7,8,10,4,9,5,10,23
18779,3,7,3,5,2,6,9,1,8,14,8,9,1,9,2,8,3
2429,6,9,8,8,7,8,8,5,6,7,8,9,8,9,3,8,24
2357,4,9,6,7,5,7,10,4,7,10,9,6,5,11,5,8,14
17491,3,6,4,4,3,9,13,4,7,7,12,9,3,12,2,9,22
435,10,11,10,8,7,4,12,3,4,10,10,9,9,12,3,7,15
17035,7,12,9,9,9,9,9,7,7,10,6,5,7,10,6,11,5
13888,5,11,7,8,4,9,8,10,9,8,7,9,4,9,5,9,17
19093,8,13,7,7,5,7,11,4,5,11,8,6,5,10,9,7,25
14617,5,12,7,10,4,10,9,10,7,6,8,11,4,9,6,10,23
2426,7,11,6,6,4,8,9,5,4,10,9,11,5,10,9,11,20
8079,5,11,6,9,3,8,8,7,10,5,7,9,1,9,10,9,18
17253,3,1,3,1,1,8,16,3,4,8,11,9,1,9,1,9,22
9246,4,8,6,6,5,6,11,3,3,9,10,10,8,12,2,9,15
4874,5,8,7,6,7,8,8,7,3,8,9,9,7,9,5,9,15
17121,7,11,9,9,7,5,11,5,9,12,11,9,4,9,5,5,13
12816,3,4,4,2,2,8,10,3,6,14,7,6,2,10,2,9,25
11351,3,4,5,6,2,8,11,2,4,8,13,9,2,12,1,9,11
17567,3,10,4,8,2,15,3,8,6,15,3,11,1,8,1,9,4
3069,3,4,4,3,2,7,13,3,7,12,10,5,2,11,3,6,22
17893,4,9,5,7,3,8,8,1,10,15,7,9,1,9,2,9,3
658,9,15,9,9,5,9,7,5,5,14,8,9,4,11,5,9,18
9404,6,12,8,9,12,11,9,6,7,8,6,7,6,6,11,6,5
16379,7,13,5,7,3,8,8,8,7,12,7,9,3,10,6,10,20
5291,6,11,6,9,5,8,6,15,6,8,12,9,4,10,1,9,24
7409,12,16,9,9,5,9,10,8,6,15,5,5,5,11,5,9,14
14214,3,4,4,5,2,6,8,7,9,8,7,14,2,9,5,10,20
10134,6,9,7,7,5,8,7,9,6,8,6,8,4,10,4,9,17
11865,6,11,8,8,5,8,12,5,6,14,6,4,2,11,4,9,14
2431,3,4,5,6,2,9,11,3,4,7,13,9,2,12,1,9,11
14189,4,5,5,4,3,8,8,8,5,10,7,9,3,9,4,9,17
8477,2,1,2,2,1,7,8,7,9,8,7,15,1,9,5,11,20
5614,5,10,7,8,5,7,9,5,3,8,9,9,9,11,1,9,15
6548,3,5,3,3,2,7,11,6,5,10,8,5,2,11,4,8,14
12834,2,3,3,4,2,11,7,4,6,13,5,10,2,7,2,8,4
6707,4,5,6,4,4,7,10,4,7,11,9,9,4,9,4,8,21
4783,6,9,7,7,6,9,8,8,5,10,7,8,4,8,5,10,17
1232,4,7,6,5,4,6,9,4,9,12,9,10,3,9,5,8,13
2149,5,11,6,8,7,7,8,6,7,7,5,9,4,7,6,10,10
6746,2,1,3,2,1,7,8,7,10,8,7,15,1,9,5,11,20
18441,6,8,8,6,5,9,10,5,7,9,5,9,4,7,6,12,10
15300,4,2,5,3,3,8,8,7,8,7,6,6,3,9,4,8,5
2849,3,1,3,2,2,8,8,8,6,8,7,8,2,9,8,9,16
6720,4,8,5,6,4,10,4,2,7,10,3,10,2,7,3,10,1
3196,4,5,6,4,3,8,10,5,5,13,5,4,2,11,4,9,14
2723,8,10,10,8,5,8,9,4,6,11,8,8,7,10,2,8,9
18435,6,12,8,9,8,6,7,4,8,7,7,10,5,9,7,10,7
17554,3,5,5,4,2,7,5,2,9,9,3,11,1,8,3,9,1
3393,7,8,10,6,8,5,8,4,6,11,11,12,9,7,4,8,2
15665,9,14,7,9,6,8,8,5,5,11,7,10,4,10,9,12,13
14084,3,5,5,3,3,8,9,4,7,11,7,9,4,9,3,9,21
11313,8,11,9,8,5,9,8,5,10,12,5,9,3,9,6,10,18
2855,5,5,6,7,4,8,8,13,2,8,10,9,9,7,1,9,2
7663,5,5,9,4,5,8,7,4,5,10,9,10,9,7,3,9,2
5061,2,4,2,3,2,9,8,2,8,8,7,8,1,9,3,8,3
7757,6,9,7,8,4,9,9,9,8,6,8,10,4,8,6,11,23
12276,4,4,5,5,4,7,9,9,8,8,6,8,3,9,10,11,16
623,5,7,7,5,4,8,7,9,6,9,6,12,5,9,5,8,17
14621,4,8,5,6,3,8,8,6,9,6,7,9,1,9,10,9,18
8191,5,10,6,8,4,10,7,1,8,14,6,9,1,9,2,9,3
4517,4,6,6,5,3,8,5,2,9,9,3,11,1,8,3,9,1
16793,7,8,9,10,9,8,10,3,4,8,10,7,7,11,7,5,14
12049,1,2,1,2,1,8,8,5,5,8,7,9,1,9,1,9,3
11541,5,8,6,6,4,7,8,7,8,11,8,12,3,10,5,10,8
7174,5,8,6,6,5,8,9,6,8,8,5,7,7,8,6,9,10
589,5,6,7,5,4,8,9,3,6,11,7,7,6,10,2,8,9
3717,2,4,2,3,2,8,8,2,8,8,7,9,1,9,3,9,3
15057,9,12,6,7,4,8,10,6,9,11,7,11,2,9,8,10,13
11317,8,15,7,9,4,9,9,4,7,13,5,6,3,9,8,8,25
16681,7,12,8,9,4,9,9,9,10,7,8,10,4,9,5,9,17
6313,4,9,5,7,4,8,8,4,9,7,7,11,4,9,7,9,12
6754,3,6,4,7,4,9,7,8,4,6,7,10,3,10,6,11,23
16613,5,8,6,6,3,7,8,7,11,7,7,13,2,8,5,9,20
13439,5,7,7,5,3,4,16,5,4,14,9,4,2,11,3,6,25
4400,6,11,7,8,6,10,9,7,6,7,6,5,7,11,4,6,9
12849,5,8,5,6,3,7,8,7,6,10,9,11,3,9,5,10,8
18875,8,10,11,8,7,7,9,3,8,11,8,10,4,9,4,8,7
10850,7,8,10,6,7,9,7,3,6,10,7,8,9,7,3,8,2
12684,7,11,9,9,8,10,8,8,5,7,10,8,4,10,10,5,11
9304,5,9,7,7,5,10,8,3,6,14,5,6,2,11,4,11,14
6167,3,5,3,3,3,8,9,6,5,8,7,7,6,10,2,6,9
4997,6,12,7,9,8,7,10,7,5,9,7,9,4,11,9,12,25
16240,2,1,2,2,1,8,8,6,8,8,7,15,1,9,5,11,20
4358,4,7,5,5,5,8,6,11,1,7,9,9,7,6,1,8,2
18885,3,3,4,5,3,9,8,8,4,7,6,10,3,10,4,10,23
17979,6,10,8,8,7,8,8,7,7,7,6,8,5,9,7,11,10
18304,7,13,6,7,5,8,10,5,6,9,8,10,5,9,9,11,20
15341,4,10,5,8,3,8,6,16,6,8,13,9,4,10,1,9,24
10285,2,1,3,2,1,9,7,7,5,7,6,10,2,9,6,11,8
3171,4,5,5,7,3,9,6,15,6,8,14,9,4,10,1,9,24
10982,4,6,5,5,3,7,8,6,6,10,8,11,3,9,5,11,8
8187,6,10,6,5,5,10,8,4,6,10,6,8,7,7,8,10,16
8519,5,8,7,6,5,9,9,7,6,8,7,6,6,10,3,7,9
12691,6,10,7,8,6,11,7,5,8,11,4,6,4,9,4,10,5
124,9,13,10,7,6,11,6,5,7,12,3,8,6,9,5,11,7
10038,2,3,3,4,2,9,9,6,2,6,8,10,3,10,5,10,23
5459,3,6,5,4,3,12,7,3,8,13,4,8,1,8,2,9,4
10437,3,2,4,3,3,8,8,6,10,7,7,9,2,9,8,9,19
12709,7,12,9,9,11,10,9,6,5,10,6,8,6,11,14,9,18
4224,4,7,6,5,5,7,8,4,8,8,7,10,1,9,9,8,19
8925,6,10,7,8,5,9,7,9,6,11,6,10,4,9,4,9,17
15860,7,11,8,9,5,6,8,7,9,10,8,10,5,10,4,4,24
9556,4,9,5,7,4,8,9,4,12,9,7,9,1,9,8,8,19
19041,4,7,6,5,5,9,9,5,4,9,5,8,5,10,6,5,4
18893,6,6,7,8,3,8,4,16,7,8,14,9,4,10,1,9,24
1184,5,11,6,8,6,7,8,7,10,7,5,11,4,9,7,10,13
1323,6,10,8,7,5,10,8,4,6,11,5,7,6,10,2,8,9
18835,4,8,5,6,4,9,8,7,7,11,5,6,4,9,4,8,5
18195,5,10,6,8,3,8,6,16,6,8,14,9,4,10,1,9,24
18086,4,10,6,7,2,8,9,5,3,8,15,9,4,10,1,9,6
19874,3,5,5,4,3,10,7,5,7,11,5,7,3,9,4,9,5
10451,5,8,7,7,7,11,7,3,4,10,4,9,6,7,7,14,7
2680,4,6,6,5,4,7,8,3,9,12,8,10,3,9,5,9,13
16260,6,7,9,5,6,8,7,3,6,10,8,9,9,7,3,9,2
7877,3,5,4,4,3,7,9,8,9,9,8,14,2,10,5,11,20
3374,5,10,5,7,3,4,14,9,3,12,8,4,2,11,5,9,14
15471,3,6,4,5,2,8,8,1,9,14,7,9,1,9,2,9,3
14902,6,10,9,8,6,5,9,2,9,11,12,11,4,10,4,6,12
14156,2,1,3,2,1,3,2,7,5,1,3,6,1,9,1,9,1
14041,4,8,6,6,5,8,9,6,7,9,6,10,4,7,6,12,10
2737,4,6,5,4,4,6,8,5,8,8,7,11,7,9,5,10,7
19074,5,9,8,7,4,5,11,5,5,11,12,11,6,8,2,8,9
11489,3,8,4,5,2,8,8,5,5,8,7,9,4,9,5,9,12
19616,5,7,6,5,3,9,7,5,7,16,8,13,2,7,2,8,4
13474,7,9,9,8,11,8,8,6,6,7,6,9,11,9,9,11,15
19843,10,9,9,13,6,11,12,2,5,8,11,6,5,11,6,11,11
8766,2,6,4,5,2,8,8,1,8,14,7,9,1,9,2,9,3
5123,3,2,3,3,2,8,8,8,5,8,7,9,3,9,3,8,17
1365,5,5,7,4,5,9,7,3,5,10,7,9,8,6,3,9,2
17019,4,6,7,5,3,7,13,4,6,14,8,4,2,11,3,7,25
9243,8,9,10,7,7,11,6,4,6,10,4,7,11,7,3,10,2
9257,1,1,2,1,1,6,8,6,7,8,7,13,1,9,6,12,13
16474,4,3,5,5,3,9,9,7,8,6,10,9,4,10,2,9,24
11545,6,11,7,8,6,8,10,7,5,7,7,7,7,10,3,8,9
4973,1,1,2,2,1,13,5,6,4,13,5,11,1,8,1,9,4
10879,3,4,4,5,2,9,15,1,7,7,12,9,1,9,1,9,22
8422,5,10,6,8,3,8,7,9,10,8,6,12,2,9,6,11,8
4135,8,14,7,9,5,8,9,3,8,13,7,8,4,9,6,6,22
6807,4,5,6,4,3,9,3,3,3,8,3,9,3,7,4,7,0
2340,6,9,7,8,8,8,10,6,3,8,8,9,7,12,8,9,8
18389,6,12,7,10,7,8,8,9,4,11,7,9,4,9,4,9,17
2483,5,9,6,7,4,3,5,3,9,3,1,10,1,8,2,7,1
5739,6,12,7,10,7,9,8,9,6,8,7,8,3,9,10,9,18
12531,4,8,5,6,3,8,8,5,5,8,7,9,4,9,5,9,12
12401,3,3,5,4,3,7,3,3,3,6,3,9,3,7,3,7,0
18024,2,1,3,1,1,8,11,2,4,8,13,9,2,12,1,9,11
19924,4,11,6,9,3,9,9,5,4,7,15,9,4,10,1,9,6
307,5,9,6,8,6,6,8,5,5,8,7,12,5,10,9,11,20
12787,7,10,7,5,6,9,9,5,5,10,7,8,7,8,9,7,16
9089,5,10,5,7,4,7,8,8,7,11,9,11,3,10,5,10,8
1345,6,9,7,11,9,8,10,6,6,8,7,8,5,10,10,8,25
19663,5,8,5,6,2,2,15,6,4,13,10,6,1,9,3,7,25
13881,4,6,7,5,4,8,9,3,11,13,7,9,2,10,6,8,19
4712,4,5,5,4,3,8,8,8,5,10,8,10,3,9,4,9,17
13147,7,9,9,11,10,7,9,5,3,9,9,7,8,13,8,8,14
1709,5,6,6,7,5,8,10,6,4,8,10,12,4,10,7,9,23
1492,3,4,3,2,3,8,9,6,6,8,6,7,2,9,6,10,16
3264,5,8,7,6,5,6,12,4,6,14,8,6,2,11,3,8,25
1230,6,10,8,8,7,10,7,3,8,12,5,10,4,9,6,12,13
5179,6,8,7,6,4,9,9,5,10,12,5,8,3,7,6,10,18
7139,4,5,5,4,2,5,13,4,4,11,12,8,3,12,2,9,6
3343,3,4,4,3,3,8,8,6,6,10,8,11,3,9,5,10,8
18136,7,11,7,6,4,8,10,3,8,13,7,7,3,10,5,7,22
11493,5,11,7,8,9,9,9,4,6,6,8,11,7,13,9,9,1
15533,3,4,5,2,2,5,10,3,7,11,10,11,4,9,3,8,7
10040,5,7,6,5,5,9,7,4,6,7,6,8,5,10,6,9,16
14817,4,8,6,6,6,8,8,5,3,9,9,9,6,11,5,9,6
647,3,7,5,5,5,7,10,4,3,8,8,7,3,9,9,2,18
13394,3,4,4,5,4,9,8,7,4,9,7,10,3,10,4,10,23
10856,4,4,5,5,3,8,13,4,7,8,12,9,3,12,2,9,22
15378,2,4,3,3,2,11,3,3,2,10,3,10,2,7,3,9,0
16461,6,8,6,6,6,6,11,4,3,10,9,8,7,12,3,7,15
9844,5,10,6,8,7,8,8,10,6,8,6,7,3,9,9,11,16
2803,2,1,2,1,1,8,14,2,5,8,11,9,1,9,1,9,22
4575,2,2,3,3,1,11,7,3,6,13,5,10,1,8,2,8,4
18593,3,4,4,3,3,8,8,6,6,8,7,7,3,9,6,10,16
4248,6,8,8,6,4,9,9,6,2,8,9,9,9,10,1,9,15
19949,4,9,5,7,6,7,7,4,6,8,8,11,5,11,9,10,13
11693,4,7,5,5,4,9,9,7,6,7,7,6,6,10,3,6,9
18865,7,11,7,6,5,9,11,4,6,12,6,5,5,10,8,8,25
16244,6,10,5,5,3,10,7,5,5,12,5,11,4,9,7,12,13
6587,5,7,7,5,6,9,8,6,7,10,5,6,4,9,4,9,5
13831,6,8,8,6,4,7,9,6,2,8,9,9,9,10,1,9,15
12878,3,2,4,3,2,8,7,11,2,8,10,9,8,7,1,9,2
15825,3,4,5,3,3,8,10,3,7,14,7,6,3,10,3,8,25
1792,5,10,5,5,4,11,7,4,5,10,5,9,7,8,8,11,16
17683,7,11,9,8,7,7,11,3,7,14,8,7,3,11,3,8,25
4576,3,5,4,3,2,6,12,3,8,12,10,6,2,11,3,6,22
4109,2,1,3,1,2,8,7,10,1,8,9,9,6,7,1,9,2
1161,12,14,10,9,6,5,9,6,7,4,3,14,8,12,3,8,9
19308,7,11,9,9,7,7,7,7,7,6,7,12,3,10,5,9,8
8633,5,11,7,9,5,6,6,2,10,7,3,11,2,8,4,8,1
19020,1,1,2,1,1,13,5,5,4,12,5,11,1,8,1,9,4
14444,5,11,6,9,4,6,9,8,9,8,9,16,2,9,5,10,20
3405,8,7,10,6,10,8,8,6,5,7,6,9,11,9,6,6,2
10906,5,8,6,6,4,10,13,3,4,4,11,10,4,12,3,9,6
5803,5,7,7,5,4,7,12,6,4,12,6,4,2,11,4,9,14
2636,4,11,6,8,2,8,16,2,7,8,12,9,1,9,1,9,22
14698,5,11,6,9,4,4,8,7,12,8,7,16,1,9,8,7,13
19531,5,7,7,10,8,10,11,7,4,8,8,8,7,12,7,6,11
3215,7,11,7,6,4,13,4,7,3,13,3,11,5,4,4,11,0
12339,4,8,5,5,3,8,9,15,2,8,6,9,4,9,1,9,21
5018,9,14,8,8,5,7,11,4,8,13,8,7,4,10,6,5,22
9582,8,11,11,9,6,7,14,8,3,12,6,3,2,12,5,9,14
14994,2,4,3,2,2,8,8,6,6,7,7,10,3,9,4,10,8
5952,9,12,8,7,6,11,7,4,6,10,5,9,7,9,7,10,10
6581,5,10,6,8,5,8,8,13,2,8,10,9,9,7,1,9,2
6276,2,4,4,3,2,8,10,4,5,13,6,5,2,10,3,10,14
16488,9,12,12,9,8,6,8,3,8,11,9,12,4,9,4,8,7
13607,6,10,8,8,4,10,7,4,8,16,6,11,2,7,2,8,4
10111,3,4,5,3,3,8,8,3,8,12,8,10,3,9,5,9,13
4888,3,2,3,3,2,9,8,5,8,6,7,8,1,9,9,9,18
15640,5,5,6,4,3,5,13,4,4,10,12,8,3,11,2,9,6
14764,4,5,5,7,2,8,8,5,5,8,7,9,4,9,5,9,12
10190,8,11,8,8,5,5,11,8,9,13,11,10,3,11,4,7,20
14591,5,7,7,5,5,9,6,8,6,7,6,8,4,9,5,10,14
3170,4,8,6,6,3,8,13,4,5,7,13,9,3,11,2,9,6
5100,5,5,6,4,4,6,12,5,3,10,9,8,7,13,3,7,15
9514,7,13,6,7,5,10,9,5,5,13,5,5,5,12,6,8,14
17850,6,6,7,9,3,7,8,8,11,9,7,16,2,10,5,10,20
17735,8,13,6,8,5,8,8,5,4,10,10,12,5,11,10,12,20
1807,5,9,7,7,5,9,7,3,10,12,5,11,3,8,8,10,19
8360,5,10,6,8,5,8,9,9,8,9,6,7,3,9,10,9,18
11929,6,9,7,7,4,5,11,3,9,12,12,7,2,12,4,5,11
14944,5,7,6,5,4,9,8,13,2,7,10,9,9,7,1,9,2
19239,3,6,5,8,2,9,15,1,7,7,12,9,1,9,1,9,22
12376,6,10,7,8,6,6,7,7,8,7,6,12,3,11,5,9,8
10112,5,10,6,8,5,5,12,5,7,12,11,7,3,11,4,6,25
